epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,932.138,0.98835,0.96546,1.43032,0.78542,0.82275,0.85658,0.55449,1.2506,0.9354,1.70454,0.000848969,0.000848969,0.000848969
43,954.829,1.02537,1.00353,1.4372,0.80708,0.73894,0.81865,0.54523,1.16869,0.9945,1.64122,0.000834822,0.000834822,0.000834822
44,975.985,1.01047,0.94661,1.41269,0.75124,0.6918,0.76563,0.49432,1.34532,1.10577,1.81161,0.000820675,0.000820675,0.000820675
45,997.627,1.02771,0.96298,1.45691,0.88079,0.77576,0.8665,0.56742,1.22038,0.88823,1.68899,0.000806528,0.000806528,0.000806528
46,1020.57,0.96238,0.91858,1.39362,0.85055,0.80884,0.85428,0.56703,1.19528,0.88912,1.65528,0.00079238,0.00079238,0.00079238
47,1041.94,0.98435,0.92235,1.40872,0.83719,0.78242,0.85172,0.56356,1.23894,0.96228,1.72888,0.000778233,0.000778233,0.000778233
48,1063.42,0.97329,0.92529,1.39684,0.85292,0.81501,0.85899,0.57715,1.16994,0.99608,1.64877,0.000764086,0.000764086,0.000764086
49,1086.51,0.97724,0.94212,1.42417,0.85864,0.80971,0.86449,0.59212,1.1355,0.82014,1.58355,0.000749939,0.000749939,0.000749939
50,1108.01,0.97542,0.87567,1.40167,0.87253,0.81728,0.8968,0.59296,1.1983,0.79439,1.61404,0.000735792,0.000735792,0.000735792
51,1129.39,0.99079,0.9065,1.40332,0.85053,0.84033,0.87572,0.60338,1.11296,0.82701,1.60374,0.000721645,0.000721645,0.000721645
52,1152.62,0.975,0.8903,1.40222,0.86926,0.84229,0.87813,0.60355,1.09228,0.83023,1.56858,0.000707498,0.000707498,0.000707498
53,1173.93,0.93643,0.86888,1.38867,0.8587,0.84399,0.88806,0.57408,1.17642,0.84049,1.6203,0.000693351,0.000693351,0.000693351
54,1194.88,0.93847,0.82555,1.37014,0.87979,0.82811,0.87759,0.55803,1.28167,0.89572,1.80276,0.000679204,0.000679204,0.000679204
55,1218.08,0.9466,0.82843,1.36515,0.81515,0.81686,0.86651,0.59982,1.12293,0.87467,1.59503,0.000665057,0.000665057,0.000665057
56,1239.26,0.95941,0.82865,1.37888,0.88125,0.85203,0.8946,0.60791,1.13587,0.79361,1.57743,0.000650909,0.000650909,0.000650909
57,1260.68,0.91536,0.82002,1.34395,0.88717,0.86535,0.87494,0.60442,1.113,0.79006,1.56171,0.000636762,0.000636762,0.000636762
58,1283.81,0.97562,0.84883,1.38959,0.88372,0.81371,0.8933,0.61295,1.1546,0.79413,1.60298,0.000622615,0.000622615,0.000622615
59,1305.17,0.90585,0.8223,1.34801,0.88284,0.83042,0.8946,0.62261,1.1034,0.78193,1.58248,0.000608468,0.000608468,0.000608468
60,1326.34,0.90891,0.80922,1.35082,0.88431,0.85541,0.90695,0.62288,1.09406,0.72763,1.55902,0.000594321,0.000594321,0.000594321
